Data;Hora (UTC);Temp. [Hora] (C);Umi. (%);Pressao (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Nebulosidade (Decimos);Insolacao (h);Temp. Max. [Diaria] (h);Temp. Min. [Diaria] (h);Chuva [Diaria] (mm)
10/05/2021;1200;15,4;96;1008,2;1,3;230;9;;;14,4;0
10/05/2021;1800;24,4;63;1005,4;1,6;230;9;;;;
11/05/2021;0;17,2;86;1007,9;1;230;10;4,3;17,6;;
11/05/2021;1200;12,8;88;1009,9;2;180;8;;;11,8;11,1
11/05/2021;1800;17,2;54;1007,8;3;180;8;;;;
12/05/2021;0;11,8;90;1009,1;0;0;4;9,3;18,8;;
12/05/2021;1200;8,2;100;1011,1;0;0;0;;;4,6;0
12/05/2021;1800;18;51;1008,8;0,5;140;0;;;;
13/05/2021;0;9;92;1010,4;0;0;0;9,4;19,6;;
13/05/2021;1200;8;100;1011,5;1;140;0;;;3,6;0
13/05/2021;1800;19,6;48;1009,8;3,3;140;2;;;;
14/05/2021;0;9,4;92;1010,7;0;0;0;7,2;20;;
14/05/2021;1200;5,6;100;1010,2;0;0;8;;;4,2;0
14/05/2021;1800;19;61;1007,5;2;140;2;;;;
15/05/2021;0;12,6;95;1007,8;1,3;140;0;5,4;21,4;;
15/05/2021;1200;8,8;100;1009,4;1;140;10;;;7,6;0
15/05/2021;1800;20,8;65;1007;2;230;0;;;;
16/05/2021;0;13,4;96;1007,1;0,3;140;0;0;15;;
16/05/2021;1200;10,4;100;1008,7;1,6;140;10;;;9,4;0
16/05/2021;1800;14;95;1006,7;1,3;140;10;;;;
17/05/2021;0;13,6;96;1007;0,8;140;10;8;22,8;;
17/05/2021;1200;13;99;1008,8;0,5;180;10;;;12;0
17/05/2021;1800;22,2;59;1006,2;2;230;3;;;;
18/05/2021;0;12,6;93;1008;0;0;0;9;19,8;;
18/05/2021;1200;10;100;1010;0,5;270;0;;;5,8;0
18/05/2021;1800;19,4;57;1007,6;1,5;180;0;;;;
19/05/2021;0;9,4;95;1007,4;0;0;0;6,8;19,6;;
19/05/2021;1200;6;100;1006,8;0,8;90;10;;;3,8;0
19/05/2021;1800;19,6;57;1002,8;3,3;140;10;;;;
20/05/2021;0;11,8;93;1003,4;1;90;10;0;16,4;;
20/05/2021;1200;12,6;98;1004,2;1,6;140;10;;;11,2;2,5
20/05/2021;1800;15,8;91;1003;0,5;140;10;;;;
21/05/2021;0;13,8;95;1002,4;1,3;140;10;0;17,2;;
21/05/2021;1200;12,6;100;1000;3,3;90;10;;;12,2;4
21/05/2021;1800;13,4;100;995,9;4;180;10;;;;
22/05/2021;0;16,8;98;993,4;3;230;10;7,1;18,6;;
22/05/2021;1200;16,2;89;998,6;1,5;320;5;;;12,6;48,9
22/05/2021;1800;17,4;65;997,1;3,1;320;7;;;;
23/05/2021;0;14,8;70;998,3;3,6;320;3;2,4;15,6;;
23/05/2021;1200;13,2;73;1001,2;3,3;320;8;;;11,2;0
23/05/2021;1800;15,4;66;1000,7;3,1;320;8;;;;
24/05/2021;0;13,2;75;1004,4;3,3;320;9;9;18;;
24/05/2021;1200;11,8;73;1006,8;2,3;320;4;;;8,6;0
24/05/2021;1800;17;59;1005,9;2,3;320;7;;;;
25/05/2021;0;8,6;95;1006,7;0;0;0;9;20,2;;
25/05/2021;1200;8,6;98;1009;0;0;0;;;4,8;0
25/05/2021;1800;20,2;44;1009;1,8;320;2;;;;
26/05/2021;0;9;94;1009;0;0;0;4,3;21,2;;
26/05/2021;1200;8,2;100;1009;1,6;140;0;;;4,2;0
26/05/2021;1800;20,2;60;1005,9;0,7;50;0;;;;
27/05/2021;0;10,4;95;1005,2;0;0;0;8;23,6;;
27/05/2021;1200;9,4;100;1004,4;0;0;0;;;5,8;0
27/05/2021;1800;22,6;56;1000,3;3;180;0;;;;
28/05/2021;0;13,4;96;998,8;0;0;0;0;17;;
28/05/2021;1200;15,4;96;993,4;0;0;10;;;11,8;3,4
28/05/2021;1800;15;100;992;1,5;90;10;;;;
29/05/2021;0;16;98;991,6;0,5;140;10;7,8;21;;
29/05/2021;1200;15,8;100;1000,3;1,3;270;8;;;12;85,9
29/05/2021;1800;21;46;1001,6;2,3;270;2;;;;
30/05/2021;0;12;86;1006;0,5;320;0;9,1;15,6;;
30/05/2021;1200;6,8;97;1011,4;0,7;90;0;;;3,6;0
30/05/2021;1800;15;43;1009,6;0,5;270;3;;;;
31/05/2021;0;6;94;1010,2;0,7;360;0;;18,8;;
31/05/2021;1200;5,6;97;1010,2;0;0;0;;;1,4;0
31/05/2021;1800;18,2;54;1007,2;0,5;230;0;;;;
01/06/2021;0;9,4;92;1006,6;0,5;360;0;8,3;24;;
01/06/2021;1200;8;97;1005,1;0;0;2;;;5,2;0
01/06/2021;1800;23,8;39;1000;2,6;50;10;;;;
02/06/2021;0;13,8;84;1000,2;0,5;90;10;2,2;23,4;;
02/06/2021;1200;14,6;95;1001,8;0,5;230;9;;;11,6;0
02/06/2021;1800;22,6;64;1002,2;1,6;320;10;;;;
03/06/2021;0;13;90;1005,4;0,7;360;0;8,5;24,8;;
03/06/2021;1200;10,4;100;1008,7;0,3;90;8;;;7,8;0
03/06/2021;1800;24,2;47;1005,8;1,3;50;0;;;;
04/06/2021;0;14;87;1005,5;1;90;0;7,1;31;;
04/06/2021;1200;13,8;95;1004,7;1,6;230;9;;;11,6;0
04/06/2021;1800;29,4;58;1001;0,7;90;10;;;;
05/06/2021;0;23;72;1001,5;1,6;90;0;7,4;30,6;;
05/06/2021;1200;26;49;1000,7;7,1;360;0;;;16;0
05/06/2021;1800;30,6;44;997,5;6,6;360;4;;;;
06/06/2021;0;16;36;1006,7;2,5;50;10;0;16;;
06/06/2021;1200;15,8;98;1007,2;2;140;0;;;14;33,4
06/06/2021;1800;14,8;93;1006,7;2,8;140;10;;;;
07/06/2021;0;14,4;87;1007,6;2,5;140;10;0,4;18,4;;
07/06/2021;1200;13,6;95;1007,9;2,6;140;10;;;13;0,1
07/06/2021;1800;18,2;76;1005,5;4,5;180;9;;;;
08/06/2021;0;15,8;89;1006,8;3,1;140;8;0;16,4;;
08/06/2021;1200;15;98;1006,7;2,1;140;10;;;15;1,3
08/06/2021;1800;15,8;98;1005,1;2,8;140;10;;;;
09/06/2021;0;15,8;98;1005,1;3,5;140;10;4,9;21,4;;
09/06/2021;1200;15;98;1006,4;1,1;140;10;;;14,8;12,3
09/06/2021;1800;20,8;81;1003,6;2;140;4;;;;
10/06/2021;0;16,4;96;1003,8;1,3;140;0;2,6;20,6;;
10/06/2021;1200;15,4;100;1004,8;1;320;10;;;14,8;1
10/06/2021;1800;19,8;85;1004,6;1,6;230;5;;;;
11/06/2021;0;16,4;92;1007;0,3;270;3;5,5;19,4;;
11/06/2021;1200;12,4;100;1009,8;0,8;320;10;;;10,2;0
11/06/2021;1800;19;54;1008,4;1,6;320;7;;;;
12/06/2021;0;10,2;92;1009;1;320;0;8,4;21;;
12/06/2021;1200;8,6;100;1009,4;0;0;3;;;5,2;0
12/06/2021;1800;20,4;50;1008;0,5;320;3;;;;
13/06/2021;0;11,4;95;1008,6;0;0;0;8,9;21;;
13/06/2021;1200;9,8;97;1011,2;0,5;50;0;;;6,4;0
13/06/2021;1800;20,6;62;1008,3;2;140;0;;;;
14/06/2021;0;13,2;93;1007,9;0,8;140;0;8,9;25;;
14/06/2021;1200;9,2;100;1008,6;0;0;0;;;8;0
14/06/2021;1800;24,4;60;1006,6;1,6;320;0;;;;
15/06/2021;0;14,4;94;1008;0;0;0;0,1;14,4;;
15/06/2021;1200;11;100;1010,4;0;0;9;;;9,2;0
15/06/2021;1800;14,2;91;1010,3;2,5;230;10;;;;
16/06/2021;0;12,2;96;1011,9;0;0;10;8,1;13,2;;
16/06/2021;1200;7,6;95;1014;2;140;3;;;4,6;0,2
16/06/2021;1800;12,6;53;1011,9;2,3;140;4;;;;
17/06/2021;0;6,2;97;1013,9;1;50;7;8,2;14,2;;
17/06/2021;1200;4,8;97;1014,8;0;0;5;;;2;0
17/06/2021;1800;14;61;1012,4;1,6;230;3;;;;
18/06/2021;0;6;97;1013,5;0;0;0;1,7;12,6;;
18/06/2021;1200;4,2;100;1014,7;0,7;90;10;;;1,6;0
18/06/2021;1800;12,2;88;1011,2;3,3;140;10;;;;
19/06/2021;0;9,8;97;1012,4;0;0;9;0,1;14,4;;
19/06/2021;1200;11,6;93;1010,7;1,6;140;10;;;9,8;0
19/06/2021;1800;14,4;85;1008,4;1,6;90;10;;;;
20/06/2021;0;13;95;1009,4;0;0;10;0,1;15,6;;
20/06/2021;1200;10,6;98;1010,4;0;0;10;;;10,6;0
20/06/2021;1800;15,6;79;1009,2;1,5;270;9;;;;
21/06/2021;0;12;95;1010,2;0;0;7;1,1;15;;
21/06/2021;1200;9,2;100;1010,6;0,3;50;10;;;6;0
21/06/2021;1800;15;85;1007,6;2;140;10;;;;
22/06/2021;0;14,2;93;1008,7;2;140;10;0;14,4;;
22/06/2021;1200;12,8;92;1011,2;2,5;140;10;;;12,4;0
22/06/2021;1800;14,4;89;1010,2;2,8;140;10;;;;
23/06/2021;0;13,4;96;1010,4;1;140;10;0;16,2;;
23/06/2021;1200;12,4;100;1008;1,6;140;10;;;12,2;0
23/06/2021;1800;15;95;1004,3;2,6;140;10;;;;
24/06/2021;0;15,4;91;1000,6;1,6;140;10;3,4;22;;
24/06/2021;1200;16,8;98;994,6;2;50;10;;;14,2;67,8
24/06/2021;1800;19,6;72;995,8;4,3;360;8;;;;
25/06/2021;0;14,2;91;1002,4;2;360;8;7,6;17,4;;
25/06/2021;1200;12,8;97;1007;1,3;230;0;;;12;2,1
25/06/2021;1800;17,4;67;1004,8;3;140;0;;;;
26/06/2021;0;12,6;91;1003,9;1,6;140;10;0;15,4;;
26/06/2021;1200;11,2;98;1000,3;3;140;10;;;10,6;11,4
26/06/2021;1800;13,8;100;996,2;0,5;50;10;;;;
27/06/2021;0;14,8;100;997,2;2;320;10;0,2;14,8;;
27/06/2021;1200;10,8;90;1006,7;1,6;320;10;;;8,6;56,8
27/06/2021;1800;12,2;74;1006,8;1,5;320;9;;;;
28/06/2021;0;8,6;81;1010,8;1,6;320;7;8,7;11,4;;
28/06/2021;1200;6;79;1015,4;2,3;320;2;;;4,6;0
28/06/2021;1800;10,6;63;1013,2;2,1;320;4;;;;
29/06/2021;0;8,2;67;1014,2;2,5;320;9;0,1;8,6;;
29/06/2021;1200;6,2;67;1014,4;3,3;320;10;;;5,8;0,5
29/06/2021;1800;8,2;70;1014,4;2,8;320;10;;;;
30/06/2021;0;7,6;77;1015,6;2;320;10;0;10,8;;
30/06/2021;1200;8;89;1017;1;320;9;;;7,6;0
30/06/2021;1800;10,8;77;1016,7;1;230;10;;;;
01/07/2021;0;9,6;86;1016,3;1;140;10;7,4;18,8;;
01/07/2021;1200;6,4;100;1015,2;1,6;140;10;;;6;0
01/07/2021;1800;18,4;61;1010,8;2,8;140;10;;;;
02/07/2021;0;10,8;90;1011;2,5;90;10;7,9;21,8;;
02/07/2021;1200;7,6;98;1012,6;0,5;270;7;;;6,2;0
02/07/2021;1800;21,4;47;1010;2;320;9;;;;
03/07/2021;0;10,4;92;1012,3;0;0;0;8,1;18;;
03/07/2021;1200;7,2;97;1013,8;0;0;3;;;5;0
03/07/2021;1800;17,6;61;1013,5;1,8;180;7;;;;
04/07/2021;0;8;94;1013,4;0;0;0;0;13,6;;
04/07/2021;1200;5;100;1014,4;1,6;140;10;;;3;0
04/07/2021;1800;12,6;88;1011,9;1,6;140;10;;;;
05/07/2021;0;9,6;98;1011,6;1,3;90;0;0;12;;
05/07/2021;1200;8,2;100;1012,8;2;140;10;;;6,4;0
05/07/2021;1800;11,2;100;1011,1;1,6;140;10;;;;
06/07/2021;0;10,4;100;1012,2;0,5;140;10;0;13;;
06/07/2021;1200;9,4;100;1012;2,1;140;10;;;9,4;0
06/07/2021;1800;12;100;1009,4;1,3;140;10;;;;
07/07/2021;0;12,6;100;1008,6;1;140;10;6,1;22;;
07/07/2021;1200;9;100;1011;1,8;180;8;;;8,2;0
07/07/2021;1800;22;64;1006,7;1,6;140;8;;;;
08/07/2021;0;14,8;93;1007,6;0,5;90;0;8,6;23;;
08/07/2021;1200;10;100;1009,5;0,5;180;0;;;8;0
08/07/2021;1800;22,4;60;1007,8;1,5;140;0;;;;
09/07/2021;0;14;93;1008,2;1;140;0;5,2;19,2;;
09/07/2021;1200;9,2;100;1009,1;1,3;140;10;;;8,2;0
09/07/2021;1800;18,4;80;1006;2,5;140;0;;;;
10/07/2021;0;13,2;98;1005,2;0,5;140;0;8,2;27;;
10/07/2021;1200;11,6;100;1006,2;0;0;0;;;7;0
10/07/2021;1800;26,4;48;1004,6;0,7;320;4;;;;
11/07/2021;0;16,2;89;1005,6;0,5;50;0;5,9;22,2;;
11/07/2021;1200;12,6;100;1007,8;1,3;140;10;;;11,6;0
11/07/2021;1800;21,6;72;1004,8;1,3;140;0;;;;
12/07/2021;0;16,4;94;1005,9;0,7;140;0;5,4;25;;
12/07/2021;1200;12,2;100;1007,5;2,3;140;10;;;11,8;0
12/07/2021;1800;25;46;1003,6;3,3;90;9;;;;
13/07/2021;0;15,6;91;1004,6;0,5;140;0;0,9;24,4;;
13/07/2021;1200;12,6;100;1005,2;0;0;10;;;11,6;0
13/07/2021;1800;24,4;63;1004,4;1;180;10;;;;
14/07/2021;0;18,8;88;1004,3;0,7;140;10;2,9;22;;
14/07/2021;1200;15,2;98;1003,2;0,5;140;8;;;15;0
14/07/2021;1800;21,2;77;999,6;1,6;140;10;;;;
15/07/2021;0;16,2;96;1000,4;1,6;140;10;0,2;17;;
15/07/2021;1200;15,6;100;1003;1,3;320;10;;;14,4;17,6
15/07/2021;1800;16,4;87;1002,7;1,6;320;9;;;;
16/07/2021;0;14,4;91;1007;0;0;10;5;16,2;;
16/07/2021;1200;11,2;98;1008,3;0;0;9;;;10;1,2
16/07/2021;1800;16,2;69;1005;2;140;4;;;;
17/07/2021;0;10;94;1005,5;0;0;0;6,7;18,2;;
17/07/2021;1200;7,8;100;1006,7;0,7;270;10;;;5,8;0
17/07/2021;1800;18,2;57;1005,8;1,6;320;5;;;;
18/07/2021;0;11,6;71;1009,1;1,6;320;3;9,2;13,2;;
18/07/2021;1200;7,6;61;1011,5;3,3;320;0;;;5,2;0
18/07/2021;1800;13,2;47;1009,6;5;320;0;;;;
19/07/2021;0;9,4;62;1012;3,3;320;10;8,1;14,6;;
19/07/2021;1200;7,2;85;1014,2;1,6;320;0;;;5,2;0
19/07/2021;1800;14;57;1013,8;2,6;320;10;;;;
20/07/2021;0;5,8;91;1014,4;1,3;50;0;7,7;16,4;;
20/07/2021;1200;4,6;97;1013,4;0;0;5;;;0,4;0
20/07/2021;1800;15,4;57;1011,9;1,6;360;7;;;;
21/07/2021;0;6,6;94;1012;0,7;140;4;9,2;18,8;;
21/07/2021;1200;4,2;100;1014,7;0;0;0;;;0,8;0
21/07/2021;1800;18,4;55;1012,3;1,6;230;0;;;;
22/07/2021;0;9;86;1014,2;1,3;140;0;8,1;20,6;;
22/07/2021;1200;7,2;100;1015,1;1;140;2;;;5;0
22/07/2021;1800;20,4;58;1012;1,3;140;9;;;;
23/07/2021;0;13,4;96;1011,4;0,7;140;8;9,2;28,8;;
23/07/2021;1200;11;98;1009,5;1;140;0;;;8;0
23/07/2021;1800;28,8;37;1005,9;1,6;50;0;;;;
24/07/2021;0;16;87;1005,9;0,8;90;0;8,9;29,4;;
24/07/2021;1200;15,2;74;1006,6;1,6;90;0;;;9,4;0
24/07/2021;1800;29,4;44;1001,9;2,5;50;0;;;;
25/07/2021;0;19,4;76;1002;1,6;90;10;5,8;29,2;;
25/07/2021;1200;24,8;42;999,4;7;360;10;;;19,2;0
25/07/2021;1800;29;37;996,2;7,5;360;7;;;;
26/07/2021;0;26,8;53;998,2;5;360;7;0;27,8;;
26/07/2021;1200;20,2;74;998,3;1,5;230;10;;;17,2;0
26/07/2021;1800;18;96;997,6;1,6;180;10;;;;
27/07/2021;0;17,4;98;999,5;0,3;360;10;7,4;17,6;;
27/07/2021;1200;8,8;95;1008,4;1,8;270;6;;;5,4;16,4
27/07/2021;1800;12;49;1009,4;3;270;2;;;;
28/07/2021;0;5,4;69;1011,5;1;320;0;5;10,8;;
28/07/2021;1200;5,2;71;1010,8;3;320;0;;;4,2;0
28/07/2021;1800;9,8;64;1010,2;2;320;8;;;;
29/07/2021;0;5,8;82;1013,8;0,7;230;8;9,2;12,8;;
29/07/2021;1200;3,6;86;1016,8;1,6;320;0;;;0,8;0
29/07/2021;1800;11,6;51;1015,1;2,6;320;0;;;;
30/07/2021;0;4,4;91;1016,3;0;0;0;9,1;14,2;;
30/07/2021;1200;3,4;97;1019,2;0,3;360;0;;;-0,4;0
30/07/2021;1800;14;51;1016,6;2,6;180;0;;;;
31/07/2021;0;7,2;85;1016,3;0,3;90;0;9;17,4;;
31/07/2021;1200;4,4;100;1017,6;1,3;140;2;;;1,2;0
31/07/2021;1800;17,2;57;1015,9;2,6;180;0;;;;
01/08/2021;0;9;94;1016,8;1;140;0;8,6;19,6;;
01/08/2021;1200;7;100;1018,2;0,5;270;0;;;3,4;0
01/08/2021;1800;19,4;54;1015,9;2,1;230;0;;;;
02/08/2021;0;10;89;1017;0,7;90;0;0,9;11,6;;
02/08/2021;1200;6,2;100;1017,8;0,7;320;10;;;3,8;0
02/08/2021;1800;10,8;87;1016;1,3;230;10;;;;
03/08/2021;0;6,4;97;1016,2;0;0;0;6,3;16,6;;
03/08/2021;1200;6,8;100;1017,1;1,3;140;10;;;3,4;0
03/08/2021;1800;15,6;73;1015,9;2,8;140;0;;;;
04/08/2021;0;9,4;92;1016,3;1;140;0;4;17,4;;
04/08/2021;1200;10,4;98;1018,4;0,8;140;10;;;5,8;0
04/08/2021;1800;17,2;70;1015,9;3,3;140;10;;;;
05/08/2021;0;14,6;89;1016,4;4;140;8;5,7;20,4;;
05/08/2021;1200;13,4;98;1015,9;3,3;140;10;;;13;0
05/08/2021;1800;20,4;68;1013,8;3,3;140;10;;;;
06/08/2021;0;15,2;91;1013,4;0,8;140;10;5,3;23,2;;
06/08/2021;1200;14;100;1013,1;1,6;140;7;;;13,4;0
06/08/2021;1800;22,6;64;1009,9;1,6;140;10;;;;
07/08/2021;0;17,2;88;1009,1;0,5;140;0;9,4;28;;
07/08/2021;1200;20,2;65;1007,8;2,5;140;0;;;14,4;0
07/08/2021;1800;27,6;46;1005,1;3;360;0;;;;
08/08/2021;0;20,2;81;1005,4;0,5;140;0;9,7;30;;
08/08/2021;1200;20,4;68;1007,4;3,3;50;0;;;17,4;0
08/08/2021;1800;29,8;42;1003,2;3;360;1;;;;
09/08/2021;0;20;83;1002,4;0,3;50;0;0,2;24,8;;
09/08/2021;1200;20,6;63;1002,7;2;230;10;;;16;0
09/08/2021;1800;22,2;75;1002,2;1;230;10;;;;
10/08/2021;0;19;92;1003,9;1,3;320;10;0;19;;
10/08/2021;1200;13,4;98;1008;1;320;10;;;12,6;3,3
10/08/2021;1800;14,6;87;1008,4;1;230;10;;;;
11/08/2021;0;13,4;89;1011,1;1;230;9;8,1;15,4;;
11/08/2021;1200;10;87;1016;2;230;4;;;8,2;0
11/08/2021;1800;14,8;54;1013,9;3,3;180;4;;;;
12/08/2021;0;8,2;86;1015,9;0,3;90;0;2,7;12;;
12/08/2021;1200;5,6;91;1017;3;140;9;;;2,4;0
12/08/2021;1800;12;60;1014,4;3,6;140;9;;;;
13/08/2021;0;9,6;89;1015,4;1,5;140;6;7,6;18,8;;
13/08/2021;1200;11,2;91;1014,2;2,5;140;10;;;9,6;0
13/08/2021;1800;18,4;61;1011,9;5;140;7;;;;
14/08/2021;0;15;79;1011,1;2,5;140;4;6,1;21,6;;
14/08/2021;1200;12,6;95;1010,2;0,8;140;10;;;11;0
14/08/2021;1800;21,4;64;1007;1,6;230;7;;;;
15/08/2021;0;15;91;1007,8;0;0;4;6,3;22,6;;
15/08/2021;1200;12,8;100;1007,8;0,8;320;10;;;10,2;0
15/08/2021;1800;21,8;64;1004,7;1;230;7;;;;
16/08/2021;0;13,4;94;1005,7;0;0;0;0;16,6;;
16/08/2021;1200;13,6;100;1003,9;1,6;140;10;;;10,2;0,1
16/08/2021;1800;16;87;1001,9;2,1;140;10;;;;
17/08/2021;0;15;83;1002,2;1;90;10;3,4;23,2;;
17/08/2021;1200;14;100;1003,5;1,5;90;10;;;12,2;0
17/08/2021;1800;22;76;1000,7;1,6;90;2;;;;
18/08/2021;0;18,8;92;1001,1;1,8;90;3;6,8;26,4;;
18/08/2021;1200;18,4;96;1002,4;2,6;180;10;;;16,4;2
18/08/2021;1800;26;72;998,4;4,3;140;2;;;;
19/08/2021;0;20,4;92;998,2;0,3;140;8;8,7;35,2;;
19/08/2021;1200;27,2;39;997,6;6,3;360;0;;;17,2;0
19/08/2021;1800;34,8;27;993,2;7;360;0;;;;
20/08/2021;0;30,4;35;994,3;3,1;360;8;0;30,4;;
20/08/2021;1200;20,4;75;1000,3;3,6;140;10;;;17,2;0
20/08/2021;1800;17,2;94;1002,6;3;90;10;;;;
21/08/2021;0;17,2;94;1001,8;1,6;270;10;0,2;18,2;;
21/08/2021;1200;14,4;96;1007,8;2;180;10;;;14,4;6,1
21/08/2021;1800;18,2;88;1000,3;3,3;140;9;;;;
22/08/2021;0;15,4;96;998,7;3,3;140;9;4,5;30,4;;
22/08/2021;1200;25,8;36;996;5,8;90;10;;;13,4;3
22/08/2021;1800;29;48;993,8;3,3;230;4;;;;
23/08/2021;0;18,6;87;996,6;0,5;270;0;0,6;18,8;;
23/08/2021;1200;16,8;78;1000,7;5;180;10;;;12;0
23/08/2021;1800;18,6;49;997,9;6,6;140;6;;;;
24/08/2021;0;15;68;999,5;3,6;140;9;0;17,8;;
24/08/2021;1200;14,4;98;997,1;4,3;140;10;;;12,6;2,5
24/08/2021;1800;17,4;92;994,7;2,5;140;10;;;;
25/08/2021;0;16,6;96;996,3;2,5;140;10;0;16,6;;
25/08/2021;1200;14,4;98;993,6;1,8;140;10;;;14,4;47,9
25/08/2021;1800;14,6;98;992,7;1;320;10;;;;
26/08/2021;0;14,6;100;997,1;1;230;10;8,3;18,2;;
26/08/2021;1200;12,4;84;1003,8;2,1;180;3;;;11;59,4
26/08/2021;1800;17,8;58;1004,2;1;180;7;;;;
27/08/2021;0;11,2;93;1006,6;0;0;0;9,7;19,4;;
27/08/2021;1200;10;100;1010,2;0,7;140;2;;;6,2;0
27/08/2021;1800;19;60;1009,4;1,6;140;2;;;;
28/08/2021;0;11,8;90;1010,4;0,7;90;0;8,6;20,8;;
28/08/2021;1200;11,4;100;1011,1;2,8;140;3;;;6,8;0
28/08/2021;1800;19,4;72;1009,4;3,6;180;3;;;;
29/08/2021;0;16,2;83;1009,9;1,5;140;5;8;24,4;;
29/08/2021;1200;12,8;100;1013;2;140;10;;;11,8;0
29/08/2021;1800;23,6;63;1010,3;3;180;4;;;;
30/08/2021;0;17,8;90;1009,9;0,5;140;0;10,1;25,8;;
30/08/2021;1200;18;82;1011,8;5;90;0;;;12,6;0
30/08/2021;1800;25,6;60;1007,8;3,8;140;0;;;;
31/08/2021;0;19,2;86;1007,9;0,8;90;0;10,4;28,4;;
31/08/2021;1200;21;63;1010,4;3,8;50;0;;;15;0
31/08/2021;1800;28;47;1006,3;3,5;90;2;;;;
01/09/2021;0;18,8;81;1006,8;0,8;90;0;9,5;29,6;;
01/09/2021;1200;21;62;1006,2;3,3;90;7;;;15;0
01/09/2021;1800;29,6;45;1003,1;3,3;360;7;;;;
02/09/2021;0;21,8;61;1001,5;2,6;50;10;4,4;30;;
02/09/2021;1200;22,2;60;1003,9;3,8;90;8;;;17;0
02/09/2021;1800;30;42;1000,3;2,3;360;8;;;;
03/09/2021;0;20,6;76;1001,4;1,6;50;7;0;20,8;;
03/09/2021;1200;16,8;92;1006,3;1,5;230;10;;;15,2;0,2
03/09/2021;1800;20,2;73;1004,6;1,3;180;10;;;;
04/09/2021;0;15,2;96;1005;0;0;3;3,3;20,8;;
04/09/2021;1200;15,4;89;1004,7;4;140;10;;;13,6;0
04/09/2021;1800;20,4;70;1000,2;4,6;140;5;;;;
05/09/2021;0;16;96;1003,5;3,8;230;10;1,2;20;;
05/09/2021;1200;15;98;1005,1;1,8;230;10;;;14,6;19,4
05/09/2021;1800;18,6;85;1004;0,8;230;9;;;;
06/09/2021;0;14,6;95;1004;0,5;270;0;2,4;21;;
06/09/2021;1200;14,6;98;1006,6;2;140;10;;;11,4;0,1
06/09/2021;1800;20,6;68;1002,4;3,3;140;9;;;;
07/09/2021;0;18,4;92;1004,8;2;140;10;0;18,4;;
07/09/2021;1200;16;98;1000,7;4,1;140;10;;;15,4;35,1
07/09/2021;1800;16,8;98;997,8;4,6;140;10;;;;
08/09/2021;0;16,8;96;995,1;3,3;140;10;0;21,6;;
08/09/2021;1200;16,8;98;995,4;3,3;90;10;;;14,8;93,1
08/09/2021;1800;21;82;994,2;1,5;50;10;;;;
09/09/2021;0;18,8;86;998,4;3,3;320;7;1,9;18,8;;
09/09/2021;1200;13,2;75;1001,5;3;320;9;;;12,4;1,3
09/09/2021;1800;16;67;1000;3,5;360;9;;;;
10/09/2021;0;13,2;86;1003,4;2;320;10;0,4;17;;
10/09/2021;1200;13,4;80;1006,4;1,8;360;10;;;13;0
10/09/2021;1800;16,4;69;1005,5;3;320;10;;;;
11/09/2021;0;14,8;80;1006,7;0,3;320;10;7,6;21;;
11/09/2021;1200;15,8;71;1008,4;0,8;90;10;;;13,6;0
11/09/2021;1800;21;59;1005,2;2;140;0;;;;
12/09/2021;0;14,8;91;1004,4;0;0;0;7,6;26,6;;
12/09/2021;1200;13;100;1003;1,8;140;10;;;12,8;0
12/09/2021;1800;25,4;68;998,3;1,8;140;3;;;;
13/09/2021;0;22,8;85;996,8;0,7;90;3;0,9;30,2;;
13/09/2021;1200;20,6;97;998,4;3;140;10;;;16,4;6,8
13/09/2021;1800;20,8;84;994,8;4,5;140;9;;;;
14/09/2021;0;18,6;96;994;2,8;140;10;0,7;22;;
14/09/2021;1200;17,4;98;1000,6;0;0;10;;;14;22,9
14/09/2021;1800;21,4;81;1000,2;1,6;230;9;;;;
15/09/2021;0;14;91;1007,4;0,5;270;3;10,5;19,6;;
15/09/2021;1200;12,8;86;1011,8;1;50;0;;;6,8;0
15/09/2021;1800;18,8;47;1009,9;1,3;140;2;;;;
16/09/2021;0;12,2;86;1011,4;0,3;140;0;10,5;20,6;;
16/09/2021;1200;11,8;93;1015,4;1,6;140;4;;;6,4;0
16/09/2021;1800;20,2;55;1011,8;4,3;140;5;;;;
17/09/2021;0;14,2;76;1012;0,7;140;0;13,5;14,8;;
17/09/2021;1200;12,6;93;1010,4;2,5;140;10;;;11;0
17/09/2021;1800;13,8;97;1007,2;1,6;140;10;;;;
18/09/2021;0;14,4;100;1005,8;2;140;10;6,4;24;;
18/09/2021;1200;15,6;98;1005,4;2,5;140;10;;;14,4;6,3
18/09/2021;1800;23,8;67;1001,4;3,3;140;7;;;;
19/09/2021;0;18,2;92;1002,4;0,5;90;0;2,3;22,8;;
19/09/2021;1200;18,4;96;1002,7;2,8;140;10;;;17,4;0
19/09/2021;1800;22,4;83;998,8;3,8;140;9;;;;
20/09/2021;0;19,8;95;998;2,5;140;10;5,2;28,6;;
20/09/2021;1200;23;80;997,5;2,5;230;10;;;18,2;0
20/09/2021;1800;28,2;69;996,2;3;180;8;;;;
21/09/2021;0;21,8;93;1000,8;1,6;230;10;4,2;22,2;;
21/09/2021;1200;15,2;78;1009,8;5,8;230;10;;;14;0
21/09/2021;1800;18,8;54;1009,5;4,6;140;9;;;;
